No;Symbol;Company Name;Market Cap;% Change;Volume;Revenue;Industry Name
31;BBDC;Barings BDC, Inc.;795.34M;1.80%;424,154;242.58M;Credit Services
32;LC;LendingClub Corporation;757.64M;-0.28%;1,170,506;1.14B;Credit Services
33;PRAA;PRA Group, Inc.;749.98M;-0.72%;1,603,227;881.39M;Credit Services
34;NRDS;NerdWallet, Inc.;656.76M;2.03%;720,127;579.40M;Credit Services
35;WRLD;World Acceptance Corporation;651.46M;-2.77%;51,854;621.65M;Credit Services
36;EZPW;EZCORP, Inc.;491.56M;-1.22%;470,375;972.00M;Credit Services
37;RWAY;Runway Growth Finance Corp.;460.02M;-1.17%;242,754;128.60M;Credit Services
38;ATLC;Atlanticus Holdings Corporation;427.29M;1.77%;13,528;365.43M;Credit Services
39;LX;LexinFintech Holdings Ltd.;423.87M;4.00%;395,994;1.42B;Credit Services
40;PMTS;CPI Card Group Inc.;348.22M;0.93%;117,575;485.17M;Credit Services
41;QD;Qudian Inc.;315.59M;-;51,257;82.85M;Credit Services
42;RM;Regional Management Corp.;246.44M;-0.35%;13,94;521.72M;Credit Services
43;CPSS;Consumer Portfolio Services, Inc.;232.92M;5.61%;32,8;329.71M;Credit Services
44;YRD;Yiren Digital Ltd.;225.96M;2.00%;9,004;492.77M;Credit Services
45;OPRT;Oportun Financial Corporation;177.21M;1.16%;275,257;440.45M;Credit Services
46;XYF;X Financial;167.56M;1.75%;4,769;511.18M;Credit Services
47;MFIN;Medallion Financial Corp.;158.59M;-0.87%;47,396;147.33M;Credit Services
48;FOA;Finance Of America Companies Inc.;137.25M;-5.66%;58,354;573.24M;Credit Services
49;CURO;CURO Group Holdings Corp.;58.16M;-2.07%;115,74;579.47M;Credit Services
50;SUNL;Sunlight Financial Holdings Inc.;57.05M;13.16%;149,779;98.51M;Credit Services
51;NICK;Nicholas Financial, Inc.;34.18M;3.98%;4,964;48.02M;Credit Services
52;JT;Jianpu Technology Inc.;26.10M;0.82%;3,58;141.99M;Credit Services
53;NISN;Nisun International Enterprise Development Group Co., Ltd;18.79M;-1.28%;42,986;239.32M;Credit Services
54;MCVT;Mill City Ventures III, Ltd.;14.16M;-0.43%;1,435;3.96M;Credit Services
55;LMFA;LM Funding America, Inc.;9.56M;-2.24%;13,374;1.73M;Credit Services
56;AHG;Akso Health Group;8.17M;7.12%;9,392;6.31M;Credit Services
57;SNTG;Sentage Holdings Inc.;8.11M;-8.33%;406,008;161.37K;Credit Services
58;PT;Pintec Technology Holdings Limited;7.12M;-6.07%;61,606;18.13M;Credit Services
59;AIHS;Senmiao Technology Limited;7.05M;3.66%;12,19;2.99M;Credit Services
60;DXF;Dunxin Financial Holdings Limited;4.52M;-11.67%;2,060,270;-18.73M;Credit Services
1;MS;Morgan Stanley;138.00B;-1.30%;6,716,779;53.38B;Capital Markets
2;GS;The Goldman Sachs Group, Inc.;106.62B;-0.57%;1,514,150;46.66B;Capital Markets
3;SCHW;The Charles Schwab Corporation;87.58B;0.91%;11,750,236;21.21B;Capital Markets
4;IBKR;Interactive Brokers Group, Inc.;31.62B;-1.13%;518,475;3.48B;Capital Markets
5;RJF;Raymond James Financial, Inc.;17.99B;-0.65%;765,68;11.21B;Capital Markets
6;TW;Tradeweb Markets Inc.;16.95B;0.14%;319,025;1.21B;Capital Markets
7;LPLA;LPL Financial Holdings Inc.;14.72B;-1.26%;760,286;8.95B;Capital Markets
8;MKTX;MarketAxess Holdings Inc.;11.31B;-0.31%;184,293;735.41M;Capital Markets
9;NMR;Nomura Holdings, Inc.;10.78B;1.70%;425,783;11.19B;Capital Markets
10;XP;XP Inc.;8.43B;-0.96%;4,405,716;2.52B;Capital Markets
11;JEF;Jefferies Financial Group Inc.;6.97B;-0.53%;883,999;5.53B;Capital Markets
12;HLI;Houlihan Lokey, Inc.;6.14B;-2.39%;338,816;1.84B;Capital Markets
13;SF;Stifel Financial Corp.;6.08B;0.44%;506,39;4.38B;Capital Markets
14;FUTU;Futu Holdings Limited;6.00B;2.29%;1,390,258;973.66M;Capital Markets
15;FRHC;Freedom Holding Corp.;4.83B;-0.54%;103,643;631.61M;Capital Markets
16;EVR;Evercore Inc.;4.10B;-1.26%;372,753;2.61B;Capital Markets
17;VIRT;Virtu Financial, Inc.;2.85B;-0.86%;834,658;2.28B;Capital Markets
18;LAZ;Lazard Ltd;2.47B;-1.25%;613,184;2.62B;Capital Markets
19;PJT;PJT Partners Inc.;2.46B;-1.24%;247,922;979.17M;Capital Markets
20;MC;Moelis & Company;2.28B;-2.40%;397,398;871.03M;Capital Markets
21;PIPR;Piper Sandler Companies;1.83B;-1.17%;79,725;1.37B;Capital Markets
22;SNEX;StoneX Group Inc.;1.69B;-2.93%;104,458;64.48B;Capital Markets
23;BGCP;BGC Partners, Inc.;1.58B;-;1,339,038;1.82B;Capital Markets
24;MARA;Marathon Digital Holdings, Inc.;1.46B;-14.58%;39,314,935;117.17M;Capital Markets
25;DFIN;Donnelley Financial Solutions, Inc.;1.30B;-1.01%;95,04;821.20M;Capital Markets
26;AMRK;A-Mark Precious Metals, Inc.;879.32M;-1.66%;205,549;8.26B;Capital Markets
27;AC;Associated Capital Group, Inc.;803.64M;0.47%;3,779;15.23M;Capital Markets
28;PWP;Perella Weinberg Partners;692.13M;1.39%;324,525;611.06M;Capital Markets
29;CIFR;Cipher Mining Inc.;500.30M;-8.22%;789,958;-;Capital Markets
30;TIGR;UP Fintech Holding Limited;446.80M;0.35%;1,084,773;206.70M;Capital Markets
31;OPY;Oppenheimer Holdings Inc.;402.73M;-0.97%;43,664;1.17B;Capital Markets
32;HUT;Hut 8 Mining Corp.;371.33M;-8.20%;8,446,450;109.99M;Capital Markets
33;WULF;TeraWulf Inc.;343.49M;-6.90%;2,745,503;15.03M;Capital Markets
34;TOP;TOP Financial Group Limited;333.45M;-4.10%;2,337,640;9.77M;Capital Markets
35;APLD;Applied Digital Corporation;331.21M;-4.64%;455,842;40.88M;Capital Markets
36;HIVE;HIVE Blockchain Technologies Ltd.;244.60M;-7.01%;1,327,725;27.05M;Capital Markets
37;BITF;Bitfarms Ltd.;240.77M;-9.01%;5,217,975;142.43M;Capital Markets
38;IREN;Iris Energy Limited;191.34M;-10.77%;930,175;-;Capital Markets
39;BTBT;Bit Digital, Inc.;168.37M;-10.53%;3,344,058;32.30M;Capital Markets
40;GHL;Greenhill & Co., Inc.;131.68M;3.92%;154,816;258.45M;Capital Markets
41;WHG;Westwood Holdings Group, Inc.;113.96M;0.57%;3,081;74.19M;Capital Markets
42;SRL;Scully Royalty Ltd.;112.20M;0.93%;4,724;46.49M;Capital Markets
43;HGBL;Heritage Global Inc.;110.23M;1.71%;118;46.91M;Capital Markets
44;SIEB;Siebert Financial Corp.;78.34M;3.88%;101,687;50.10M;Capital Markets
45;ARBK;Argo Blockchain plc;72.56M;3.60%;144,378;57.06M;Capital Markets
46;SAI;SAI.TECH Global Corporation;54.38M;-14.44%;132,812;10.64M;Capital Markets
47;MIGI;Mawson Infrastructure Group, Inc.;42.11M;1.36%;36,678;84.39M;Capital Markets
48;SDIG;Stronghold Digital Mining, Inc.;41.69M;-12.61%;1,523,038;106.03M;Capital Markets
49;MEGL;Magic Empire Global Limited;40.13M;-7.84%;369,95;1.43M;Capital Markets
50;GREE;Greenidge Generation Holdings Inc.;23.74M;-2.82%;454,278;89.98M;Capital Markets
51;BTCS;BTCS Inc.;19.06M;-8.11%;84,372;1.69M;Capital Markets
52;ATIF;ATIF Holdings Limited;17.52M;-0.27%;1,985;3.34M;Capital Markets
53;COHN;Cohen & Company Inc.;12.72M;0.29%;1,094;53.89M;Capital Markets
54;NCPL;Netcapital Inc.;11.01M;8.92%;216,696;7.22M;Capital Markets
55;LGHL;Lion Group Holding Ltd.;7.15M;-7.86%;1,687,439;-2.48M;Capital Markets
1;CB;Chubb Limited;83.41B;0.46%;1,319,274;44.55B;Insurance - Property & Casualty
2;PGR;The Progressive Corporation;78.40B;-0.33%;2,037,319;52.07B;Insurance - Property & Casualty
3;TRV;The Travelers Companies, Inc.;42.22B;-0.19%;720,403;37.78B;Insurance - Property & Casualty
4;ALL;The Allstate Corporation;31.10B;0.56%;1,713,213;52.86B;Insurance - Property & Casualty
5;MKL;Markel Corporation;18.34B;0.53%;21,609;12.71B;Insurance - Property & Casualty
6;CINF;Cincinnati Financial Corporation;16.34B;-0.53%;549,428;7.58B;Insurance - Property & Casualty
7;WRB;W. R. Berkley Corporation;15.35B;-0.19%;882,852;11.15B;Insurance - Property & Casualty
8;L;Loews Corporation;13.31B;-0.15%;817,25;14.43B;Insurance - Property & Casualty
9;CNA;CNA Financial Corporation;10.92B;0.10%;115,419;12.15B;Insurance - Property & Casualty
10;AFG;American Financial Group, Inc.;9.88B;0.45%;234,052;7.19B;Insurance - Property & Casualty
11;KNSL;Kinsale Capital Group, Inc.;7.68B;-0.21%;78,851;895.83M;Insurance - Property & Casualty
12;SIGI;Selective Insurance Group, Inc.;6.19B;0.34%;156,631;3.71B;Insurance - Property & Casualty
13;RLI;RLI Corp.;6.16B;-1.21%;190,415;1.80B;Insurance - Property & Casualty
14;HGTY;Hagerty, Inc.;5.58B;-4.52%;172,201;838.13M;Insurance - Property & Casualty
15;AXS;AXIS Capital Holdings Limited;4.69B;0.15%;267,219;5.22B;Insurance - Property & Casualty
16;THG;The Hanover Insurance Group, Inc.;4.27B;-0.47%;105,767;5.58B;Insurance - Property & Casualty
17;WTM;White Mountains Insurance Group, Ltd.;3.65B;-2.55%;10,776;1.43B;Insurance - Property & Casualty
18;KMPR;Kemper Corporation;2.88B;-2.34%;244,572;5.48B;Insurance - Property & Casualty
19;MCY;Mercury General Corporation;1.64B;-0.54%;173,791;3.94B;Insurance - Property & Casualty
20;HMN;Horace Mann Educators Corporation;1.36B;-0.06%;121,717;1.38B;Insurance - Property & Casualty
21;PLMR;Palomar Holdings, Inc.;1.20B;-3.13%;161,895;338.18M;Insurance - Property & Casualty
22;STC;Stewart Information Services Corporation;1.16B;-0.02%;181,538;2.72B;Insurance - Property & Casualty
23;LMND;Lemonade, Inc.;1.09B;-2.30%;970,574;307.60M;Insurance - Property & Casualty
24;SAFT;Safety Insurance Group, Inc.;1.03B;1.28%;53,156;816.32M;Insurance - Property & Casualty
25;ARGO;Argo Group International Holdings, Ltd.;1.03B;-0.17%;375,179;1.67B;Insurance - Property & Casualty
26;SKWD;Skyward Specialty Insurance Group, Inc.;910.57M;0.70%;153,942;642.42M;Insurance - Property & Casualty
27;PRA;ProAssurance Corporation;789.35M;-0.27%;788,247;1.10B;Insurance - Property & Casualty
28;UFCS;United Fire Group, Inc.;615.28M;-0.41%;85,193;1.00B;Insurance - Property & Casualty
29;UVE;Universal Insurance Holdings, Inc.;480.04M;-0.50%;139,73;1.25B;Insurance - Property & Casualty
30;HCI;HCI Group, Inc.;475.48M;-7.82%;209,381;501.55M;Insurance - Property & Casualty
31;DGICB;Donegal Group Inc.;472.94M;-;22;865.34M;Insurance - Property & Casualty
32;DGICA;Donegal Group Inc.;467.31M;0.14%;46,591;865.34M;Insurance - Property & Casualty
33;GBLI;Global Indemnity Group, LLC;378.00M;-3.04%;1,301;648.99M;Insurance - Property & Casualty
34;NODK;NI Holdings, Inc.;275.18M;-2.68%;2,879;339.85M;Insurance - Property & Casualty
35;UIHC;United Insurance Holdings Corp.;189.10M;-1.80%;157,305;455.42M;Insurance - Property & Casualty
36;HRTG;Heritage Insurance Holdings, Inc.;111.69M;-7.22%;121,373;680.77M;Insurance - Property & Casualty
37;ROOT;Root, Inc.;73.79M;-0.96%;72,359;295.50M;Insurance - Property & Casualty
38;CNFR;Conifer Holdings, Inc.;20.16M;4.49%;47,999;104.10M;Insurance - Property & Casualty
39;KINS;Kingstone Companies, Inc.;17.01M;8.16%;39,343;130.16M;Insurance - Property & Casualty
40;HALL;Hallmark Financial Services, Inc.;7.18M;0.27%;1,361;159.92M;Insurance - Property & Casualty
41;UNAM;Unico American Corporation;5.97M;-0.44%;11,287;15.48M;Insurance - Property & Casualty
1;JPM;JPMorgan Chase & Co.;397.58B;-0.32%;5,995,070;136.33B;Banks - Diversified
2;BAC;Bank of America Corporation;218.28B;0.26%;34,682,804;97.98B;Banks - Diversified
3;HSBC;HSBC Holdings plc;149.64B;-0.43%;1,721,879;61.60B;Banks - Diversified
4;WFC;Wells Fargo & Company;143.82B;0.13%;18,490,013;76.92B;Banks - Diversified
5;RY;Royal Bank of Canada;133.74B;-0.20%;408,002;38.07B;Banks - Diversified
6;TD;The Toronto-Dominion Bank;111.43B;-0.83%;1,283,604;37.30B;Banks - Diversified
7;C;Citigroup Inc.;89.61B;-0.73%;11,213,638;77.60B;Banks - Diversified
8;MUFG;Mitsubishi UFJ Financial Group, Inc.;77.86B;1.10%;3,464,094;25.33B;Banks - Diversified
9;BMO;Bank of Montreal;61.84B;-0.62%;355,171;24.26B;Banks - Diversified
10;UBS;UBS Group AG;59.64B;-1.03%;1,924,715;37.16B;Banks - Diversified
11;BNS;The Bank of Nova Scotia;58.80B;-0.20%;691,311;23.39B;Banks - Diversified
12;SMFG;Sumitomo Mitsui Financial Group, Inc.;56.54B;0.72%;1,872,967;25.74B;Banks - Diversified
13;SAN;Banco Santander, S.A.;55.33B;-0.87%;2,116,204;53.84B;Banks - Diversified
14;ING;ING Groep N.V.;45.78B;4.28%;3,845,734;20.62B;Banks - Diversified
15;BBVA;Banco Bilbao Vizcaya Argentaria, S.A.;42.63B;2.89%;1,297,463;31.80B;Banks - Diversified
16;CM;Canadian Imperial Bank of Commerce;37.98B;0.17%;714,12;16.61B;Banks - Diversified
17;NWG;NatWest Group plc;31.01B;-1.06%;1,409,945;14.02B;Banks - Diversified
18;BCS;Barclays PLC;29.86B;-0.90%;8,903,260;31.13B;Banks - Diversified
19;NU;Nu Holdings Ltd.;27.32B;-;14,565,437;4.79B;Banks - Diversified
20;EWBC;East West Bancorp, Inc.;6.20B;-1.24%;1,340,068;2.42B;Banks - Diversified
21;CS;Credit Suisse Group AG;3.34B;-0.52%;9,909,838;16.04B;Banks - Diversified
22;NTB;The Bank of N.T. Butterfield & Son Limited;1.18B;-1.62%;344,812;568.99M;Banks - Diversified
1;PUK;Prudential plc;40.80B;-0.57%;313,142;-10.29B;Insurance - Life
2;AFL;Aflac Incorporated;40.28B;-0.07%;2,011,218;19.03B;Insurance - Life
3;MET;MetLife, Inc.;39.23B;-1.14%;5,192,175;69.53B;Insurance - Life
4;MFC;Manulife Financial Corporation;35.93B;-1.02%;2,860,520;12.52B;Insurance - Life
5;PRU;Prudential Financial, Inc.;29.39B;0.20%;2,351,233;63.88B;Insurance - Life
6;GL;Globe Life Inc.;10.41B;0.04%;487,142;5.23B;Insurance - Life
7;UNM;Unum Group;8.57B;-1.45%;765,574;12.04B;Insurance - Life
8;PRI;Primerica, Inc.;6.55B;-0.49%;105,235;2.72B;Insurance - Life
9;LNC;Lincoln National Corporation;3.38B;-1.04%;4,076,673;17.89B;Insurance - Life
10;AEL;American Equity Investment Life Holding Company;3.05B;-0.53%;477,978;1.93B;Insurance - Life
11;BHF;Brighthouse Financial, Inc.;2.76B;0.49%;533,506;7.02B;Insurance - Life
12;GNW;Genworth Financial, Inc.;2.51B;-0.19%;4,785,118;7.47B;Insurance - Life
13;JXN;Jackson Financial Inc.;2.48B;3.93%;1,631,945;9.41B;Insurance - Life
14;CNO;CNO Financial Group, Inc.;2.44B;-0.14%;481,451;3.58B;Insurance - Life
15;FG;F&G Annuities & Life, Inc.;2.15B;1.55%;117,381;-;Insurance - Life
16;NWLI;National Western Life Group, Inc.;961.25M;0.52%;10,831;558.40M;Insurance - Life
17;VERY;Vericity, Inc.;106.95M;1.27%;1,208;163.91M;Insurance - Life
18;MDWT;Midwest Holding Inc.;96.00M;-0.08%;17,702;30.05M;Insurance - Life
19;CIA;Citizens, Inc.;93.73M;9.94%;156,889;233.08M;Insurance - Life
20;AAME;Atlantic American Corporation;45.11M;0.68%;2,613;192.35M;Insurance - Life
1;RYAN;Ryan Specialty Holdings, Inc.;11.25B;-0.48%;518,046;1.80B;Insurance - Specialty
2;FNF;Fidelity National Financial, Inc.;9.38B;0.91%;1,270,378;10.87B;Insurance - Specialty
3;AIZ;Assurant, Inc.;6.87B;0.09%;272,847;10.35B;Insurance - Specialty
4;FAF;First American Financial Corporation;5.86B;-2.84%;948,013;7.02B;Insurance - Specialty
5;ESNT;Essent Group Ltd.;4.70B;0.02%;281,622;992.46M;Insurance - Specialty
6;MTG;MGIC Investment Corporation;4.25B;1.09%;1,439,763;1.16B;Insurance - Specialty
7;RDN;Radian Group Inc.;3.91B;0.44%;999,256;1.21B;Insurance - Specialty
8;ACT;Enact Holdings, Inc.;3.83B;-0.84%;463,216;1.11B;Insurance - Specialty
9;AGO;Assured Guaranty Ltd.;3.10B;-0.59%;204,177;706.00M;Insurance - Specialty
10;NMIH;NMI Holdings, Inc.;1.99B;0.63%;314,424;532.68M;Insurance - Specialty
11;AMSF;AMERISAFE, Inc.;1.06B;-0.39%;72,76;297.62M;Insurance - Specialty
12;EIG;Employers Holdings, Inc.;1.02B;-0.11%;80,621;768.00M;Insurance - Specialty
13;TRUP;Trupanion, Inc.;919.33M;-5.39%;1,163,365;955.51M;Insurance - Specialty
14;JRVR;James River Group Holdings, Ltd.;812.57M;1.12%;148,573;847.35M;Insurance - Specialty
15;AMBC;Ambac Financial Group, Inc.;660.79M;-0.41%;457,684;443.00M;Insurance - Specialty
16;MBI;MBIA Inc.;503.16M;-2.82%;805,261;116.00M;Insurance - Specialty
17;TIPT;Tiptree Inc.;455.60M;-1.43%;164,761;1.45B;Insurance - Specialty
18;HIPO;Hippo Holdings Inc.;447.66M;-2.98%;62,767;135.00M;Insurance - Specialty
19;ITIC;Investors Title Company;269.84M;-1.14%;1,126;265.74M;Insurance - Specialty
20;ICCH;ICC Holdings, Inc.;51.99M;-0.18%;46;69.68M;Insurance - Specialty
1;MMC;Marsh & McLennan Companies, Inc.;89.23B;-0.08%;706,242;21.10B;Insurance Brokers
2;AON;Aon plc;68.47B;0.44%;539,651;12.68B;Insurance Brokers
3;AJG;Arthur J. Gallagher & Co.;46.45B;-0.23%;497,442;8.82B;Insurance Brokers
4;WTW;Willis Towers Watson PLC;24.30B;0.12%;254,914;8.95B;Insurance Brokers
5;BRO;Brown & Brown, Inc.;18.62B;0.11%;653,875;3.78B;Insurance Brokers
6;ERIE;Erie Indemnity Company;12.23B;0.49%;48,567;2.92B;Insurance Brokers
7;CRVL;CorVel Corporation;3.72B;0.14%;27,667;704.48M;Insurance Brokers
8;GOCO;GoHealth, Inc.;3.15B;0.07%;38,078;544.24M;Insurance Brokers
9;BRP;BRP Group, Inc.;1.40B;-1.45%;364,484;1.07B;Insurance Brokers
10;CRD.B;Crawford & Company;446.15M;2.54%;8,533;1.27B;Insurance Brokers
11;CRD.A;Crawford & Company;444.71M;2.03%;60,885;1.27B;Insurance Brokers
12;FANH;Fanhua Inc.;429.42M;4.07%;78,232;399.08M;Insurance Brokers
13;SLQT;SelectQuote, Inc.;266.42M;-2.44%;2,469,033;917.49M;Insurance Brokers
14;EHTH;eHealth, Inc.;207.81M;-2.47%;779,479;373.83M;Insurance Brokers
15;HUIZ;Huize Holding Limited;56.28M;2.86%;77,247;1.16B;Insurance Brokers
16;RELI;Reliance Global Group, Inc.;6.55M;8.57%;95,927;16.76M;Insurance Brokers
17;TIRX;Tian Ruixiang Holdings Ltd;6.29M;2.46%;1,049,084;1.35M;Insurance Brokers
1;RKT;Rocket Companies, Inc.;16.26B;1.24%;1,662,463;3.83B;Mortgage Finance
2;UWMC;UWM Holdings Corporation;14.97B;1.46%;1,159,015;1.71B;Mortgage Finance
3;COOP;Mr. Cooper Group Inc.;3.05B;4.26%;846,237;1.74B;Mortgage Finance
4;PFSI;PennyMac Financial Services, Inc.;2.93B;2.32%;253,915;1.63B;Mortgage Finance
5;WD;Walker & Dunlop, Inc.;2.15B;1.13%;252,574;1.18B;Mortgage Finance
6;ECPG;Encore Capital Group, Inc.;1.06B;-1.29%;142,621;1.21B;Mortgage Finance
7;GHLD;Guild Holdings Company;611.71M;0.90%;2,518;786.94M;Mortgage Finance
8;LDI;loanDepot, Inc.;607.44M;3.91%;360,289;960.39M;Mortgage Finance
9;GHI;Greystone Housing Impact Investors LP;364.33M;-0.93%;18,227;86.81M;Mortgage Finance
10;HMPT;Home Point Capital Inc.;314.24M;18.85%;3,440,160;255.65M;Mortgage Finance
11;VEL;Velocity Financial, Inc.;288.40M;-0.90%;3,657;124.23M;Mortgage Finance
12;OCN;Ocwen Financial Corporation;212.17M;-0.54%;18,065;984.14M;Mortgage Finance
13;CNF;CNFinance Holdings Limited;197.72M;6.38%;44,355;73.33M;Mortgage Finance
14;SNFCA;Security National Financial Corporation;168.99M;-2.63%;9,481;389.65M;Mortgage Finance
15;IOR;Income Opportunity Realty Investors, Inc.;45.85M;1.85%;5;-;Mortgage Finance
1;BRK.B;Berkshire Hathaway Inc.;712.59B;-0.11%;1,795,013;234.19B;Insurance - Diversified
2;AIG;American International Group, Inc.;38.22B;0.38%;4,371,296;51.61B;Insurance - Diversified
3;ACGL;Arch Capital Group Ltd.;28.79B;0.12%;1,251,356;10.84B;Insurance - Diversified
4;SLF;Sun Life Financial Inc.;28.03B;-1.22%;460,064;17.02B;Insurance - Diversified
5;HIG;The Hartford Financial Services Group, Inc.;21.68B;-0.01%;1,096,061;22.88B;Insurance - Diversified
6;PFG;Principal Financial Group, Inc.;16.68B;-1.91%;1,905,333;17.20B;Insurance - Diversified
7;AEG;Aegon N.V.;8.73B;-;2,626,523;-11.08B;Insurance - Diversified
8;EQH;Equitable Holdings, Inc.;8.41B;2.67%;4,035,993;12.43B;Insurance - Diversified
9;ORI;Old Republic International Corporation;7.40B;-0.20%;853,217;7.64B;Insurance - Diversified
10;ESGR;Enstar Group Limited;4.05B;-1.77%;37,55;-136.00M;Insurance - Diversified
11;GSHD;Goosehead Insurance, Inc;2.21B;-2.04%;178,054;226.07M;Insurance - Diversified
12;WDH;Waterdrop Inc.;1.08B;-0.35%;373,862;401.98M;Insurance - Diversified
13;IGIC;International General Insurance Holdings Ltd.;391.79M;-0.83%;29,4;376.45M;Insurance - Diversified
14;FGF;FG Financial Group, Inc.;22.23M;-1.46%;612;20.10M;Insurance - Diversified
1;SPGI;S&P Global Inc.;115.58B;-0.52%;887,895;11.95B;Financial Data & Stock Exchanges
2;CME;CME Group Inc.;66.00B;-0.99%;938,913;5.11B;Financial Data & Stock Exchanges
3;ICE;Intercontinental Exchange, Inc.;60.58B;-0.26%;1,027,786;9.65B;Financial Data & Stock Exchanges
4;MCO;Moody's Corporation;56.69B;-0.52%;846,167;5.42B;Financial Data & Stock Exchanges
5;MSCI;MSCI Inc.;37.66B;-0.90%;338,702;2.28B;Financial Data & Stock Exchanges
6;NDAQ;Nasdaq, Inc.;27.10B;0.04%;1,387,888;6.22B;Financial Data & Stock Exchanges
7;FDS;FactSet Research Systems Inc.;15.34B;-1.02%;183,503;2.01B;Financial Data & Stock Exchanges
8;CBOE;Cboe Global Markets, Inc.;13.35B;0.43%;167,084;3.97B;Financial Data & Stock Exchanges
9;MORN;Morningstar, Inc.;8.06B;-0.50%;109,963;1.89B;Financial Data & Stock Exchanges
10;DNB;Dun & Bradstreet Holdings, Inc.;4.76B;-1.81%;1,299,391;2.23B;Financial Data & Stock Exchanges
11;VALU;Value Line, Inc.;448.35M;-;434;40.11M;Financial Data & Stock Exchanges
1;RE;Everest Re Group, Ltd.;17.07B;0.29%;141,226;12.45B;Insurance - Reinsurance
2;RGA;Reinsurance Group of America, Incorporated;9.95B;1.40%;399,299;16.58B;Insurance - Reinsurance
3;RNR;RenaissanceRe Holdings Ltd.;9.28B;0.38%;225,614;6.39B;Insurance - Reinsurance
4;BNRE;Brookfield Reinsurance Ltd.;1.64B;-0.22%;10,755;5.10B;Insurance - Reinsurance
5;SPNT;SiriusPoint Ltd.;1.62B;2.89%;459,445;2.43B;Insurance - Reinsurance
6;GLRE;Greenlight Capital Re, Ltd.;364.73M;-2.88%;57,048;548.64M;Insurance - Reinsurance
7;MHLD;Maiden Holdings, Ltd.;207.13M;-;56,581;67.58M;Insurance - Reinsurance
8;OXBR;Oxbridge Re Holdings Limited;7.81M;-0.44%;3,987;850.00K;Insurance - Reinsurance
1;VOYA;Voya Financial, Inc.;6.86B;-0.20%;773,297;6.24B;Financial Conglomerates
2;RILY;B. Riley Financial, Inc.;1.03B;-2.93%;255,76;1.31B;Financial Conglomerates
3;TREE;LendingTree, Inc.;236.52M;-;233,222;902.32M;Financial Conglomerates
